"Gemeinde";"Flaeche";"Bevoelkerung"
"Grabau";4;349
"Groß Pampau";4,31;167
"Grove";5,28;257
"Gülzow";17,07;1318
"Hamfelde";3,47;499
"Havekost";5,91;194
"Kankelau";4,21;225
"Kasseburg";7,89;571
"Köthel";1,52;301
"Kollow";8,21;608
"Kuddewörde";7,35;1512
"Möhnsen";7,47;508
"Mühlenrade";3,74;204
"Sahms";5,94;444
"Duvensee";12,39;549
"Grinau";2,74;282
"Groß Boden";2,7;213
"Groß Schenkenberg";6,52;586
"Klinkrade";7,4;599
"Koberg";11,98;802
"Kühsen";7,28;359
"Labenz";5,75;897
"Lankau";19,12;458
"Linau";9,66;1199
"Lüchow";4,61;292
"Nusse";6,22;1156
"Panten";13,83;656
"Poggensee";5,44;370
"Ritzerau";11,11;299
"Sandesneben";6,13;1886
"Schiphorst";8,15;704
"Schönberg";14,77;1450
"Schürensöhlen";2,75;155
"Siebenbäumen";8,82;595
"Sirksfelde";8,62;342
"Steinhorst";16,29;567
"Stubben";5,33;372
"Walksfelde";3,51;210
"Wentorf (Amt Sandesneben)";4,99;721
"Friedrichstadt, Stadt";4,02;2555
"Husum, Stadt";25,8;23735
"Reußenköge";45,91;321
"Tönning, Stadt";44,43;4895
"Sylt";57,31;13924
"Garding, Kirchspiel";14,89;320
"Garding, Stadt";3,06;2823
"Grothusenkoog";3,27;24
"Katharinenheerd";8,41;166
"Kotzenbüll";7,77;189
"Norderfriedrichskoog";5,31;46
"Oldenswort";45,84;1341
"Osterhever";18,5;215
"Poppenbüll";15,52;233
"Sankt Peter-Ording";28,35;3934
"Tating";29,49;954
"Tetenbüll";36,42;639
"Tümlauer Koog";6,2;106
"Vollerwiek";4,62;218
"Welt";8,2;190
"Westerhever";13,32;92
"Hörnum (Sylt)";5,64;924
"Kampen (Sylt)";8,43;486
"List auf Sylt";18,42;1618
"Wenningstedt-Braderup (Sylt)";6,16;1632
"Ahrenviöl";10,11;520
"Ahrenviölfeld";7,29;232
"Behrendorf";15,29;559
"Bondelum";9,18;165
"Haselund";12,79;918
"Immenstedt";14,61;680
"Löwenstedt";19,62;693
"Norstedt";13,5;385
"Oster-Ohrstedt";11,29;662
"Schwesing";15,63;955
"Sollwitt";10,95;309
"Viöl";18,96;2225
"Wester-Ohrstedt";18,54;1082
"Gröde";2,52;11
"Hallig Hooge";5,78;91
"Langeneß";11,57;132
"Pellworm";37,45;1243
"Alkersum";9,07;375
"Borgsum";5,51;327
"Dunsum";2,72;70
"Midlum";8,5;416
"Nebel";11,95;984
"Nieblum";7,86;613
"Norddorf auf Amrum";5,89;563
"Oevenum";10,87;470
"Oldsum";13,31;525
"Süderende";2,59;177
"Utersum";5,26;398
"Witsum";1,59;41
"Wittdün auf Amrum";2,61;828
"Wrixum";7,56;597
"Wyk auf Föhr, Stadt";8,08;4380
"Achtrup";29,9;1558
"Aventoft";14,47;416
"Bosbüll";6,33;251
"Braderup";13,35;675
"Bramstedtlund";13,85;211
"Dagebüll";36,92;902
"Ellhöft";7,82;112
"Friedrich-Wilhelm-Lübke-Koog";13,49;164
"Holm";4;94
"Humptrup";16,99;772
"Karlum";14,46;211
"Klanxbüll";10,63;1042
"Klixbüll";17,44;1059
"Ladelund";24,09;1455
"Leck";29,79;7860
"Lexgaard";5,24;54
"Neukirchen";31,58;1107
"Niebüll, Stadt";30,63;10192
"Risum-Lindholm";36,03;3909
"Rodenäs";19,84;400
"Sprakebüll";11,37;262
"Stadum";19,74;969
"Stedesand";15,19;883
"Süderlügum";26,59;2424
"Tinningstedt";8,91;244
"Uphusum";7,06;335
"Westre";19,14;361
"Galmsbüll";49,05;606
"Emmelsbüll-Horsbüll";35,73;884
"Enge-Sande";24,82;1137
"Arlewatt";5,57;353
"Drage";16,33;646
"Elisabeth-Sophien-Koog";5,18;55
"Fresendelf";2,6;86
"Hattstedt";7,01;2677
"Hattstedtermarsch";35,29;282
"Horstedt";11,7;828
"Hude";3,54;189
"Koldenbüttel";25,8;898
"Mildstedt";8,71;3950
"Nordstrand";57,26;2256
"Oldersbek";10,82;742
"Olderup";9,94;469
"Ostenfeld (Husum)";27,67;1554
"Ramstedt";5,42;429
"Rantrum";13,69;1924
"Schwabstedt";19,64;1333
"Seeth";13,76;768
"Simonsberg";17,48;821
"Süderhöft";2,6;19
"Südermarsch";30,23;137
"Uelvesbüll";10,23;303
"Winnert";18,88;698
"Wisch";3,05;112
"Wittbek";19,91;807
"Witzwort";28,14;1022
"Wobbenbüll";1,69;480
"Ahrenshöft";8,79;540
"Almdorf";5,7;521
"Bargum";17,29;645
"Bohmstedt";13,35;777
"Bordelum";34,71;2020
"Bredstedt, Stadt";9,75;5736
"Breklum";10,07;2330
"Drelsdorf";17,7;1272
"Goldebek";10,18;370
"Goldelund";12,02;411
"Högel";16,28;448
"Joldelund";19,12;796
"Kolkerheide";2,1;79
"Langenhorn";47,4;3368
"Lütjenholm";10,71;340
"Ockholm";18,64;307
"Sönnebüll";4,29;296
"Struckum";8,92;1006
"Vollstedt";6,18;188
"Ahrensbök";95,37;8469
"Bad Schwartau, Stadt";18,39;20255
"Bosau";64,25;3426
"Dahme";9,11;1197
"Eutin, Stadt";41,38;17086
"Grömitz";51,09;7286
"Grube";20,21;1049
"Heiligenhafen, Stadt";18,32;9330
"Kellenhusen (Ostsee)";8,17;1220
"Malente";69,07;10929
"Neustadt in Holstein, Stadt";19,73;15464
"Oldenburg in Holstein, Stadt";39,69;9922
"Ratekau";59,62;15330
"Stockelsdorf";56,7;17087
"Süsel";75,29;5063
"Timmendorfer Strand";20,13;8646
"Scharbeutz";52,54;11739
"Fehmarn, Stadt";185,5;13247
"Göhl";21,24;1149
"Gremersdorf";45,76;1538
"Großenbrode";20,99;2249
"Heringsdorf";29,55;1161
"Neukirchen";28,6;1175
"Wangels";67,12;2220
"Beschendorf";8,54;545
"Damlos";9,24;593
"Harmsdorf";17,82;613
"Kabelhorst";5,79;407
"Lensahn";27,7;5101
"Manhagen";9,63;362
"Riepsdorf";25,81;924
"Altenkrempe";36,64;1131
"Kasseedorf";33,92;1459
"Schashagen";41,46;2041
"Schönwalde am Bungsberg";39,12;2573
"Sierksdorf";19,5;1620
"Barmstedt, Stadt";17,17;10630
"Bönningstedt";12,05;4593
"Elmshorn, Stadt";21,36;50772
"Halstenbek";12,58;17978
"Hasloh";11,07;3823
"Helgoland";4,21;1253
"Pinneberg, Stadt";21,54;44279
"Quickborn, Stadt";43,16;22165
"Rellingen";13,18;14725
"Schenefeld, Stadt";9,99;19707
"Tornesch, Stadt";20,61;14350
"Uetersen, Stadt";11,43;18618
"Wedel, Stadt";33,81;34538
"Klein Nordende";10,79;3461
"Klein Offenseth-Sparrieshoop";16,92;3186
"Kölln-Reisiek";6,77;3444
"Seester";11,57;1027
"Raa-Besenbek";12,99;538
"Seestermühe";23,36;925
"Seeth-Ekholt";6,89;971
"Bokel";16,02;583
"Brande-Hörnerkirchen";13,14;1740
"Osterhorn";6,38;423
"Westerhorn";9,37;1343
"Bevern";8,04;623
"Bilsen";6,2;827
"Bokholt-Hanredder";8,56;1323
"Bullenkuhlen";3,93;392
"Ellerhoop";10,79;1537
"Groß Offenseth-Aspern";10,56;486
"Heede";15,48;811
"Hemdingen";16,41;1705
"Langeln";10,28;602
"Lutzhorn";21,72;783
"Borstel-Hohenraden";14,88;2471
"Ellerbek";9,11;4322
"Kummerfeld";6,5;2408
"Prisdorf";5,23;2301
"Tangstedt";12,52;2294
"Appen";20,3;4834
"Groß Nordende";5,64;817
"Haselau";18,89;1089
"Haseldorf";18,08;1845
"Heidgraben";5,38;2739
"Heist";9,96;2962
"Hetlingen";24,1;1436
"Holm";16,05;3366
"Moorrege";10,76;4579
"Neuendeich";8,54;506
"Ascheberg (Holstein)";20,94;3065
"Bönebüttel";20,4;2103
"Bösdorf";21,09;1334
"Plön, Stadt";36,76;8941
"Preetz, Stadt";14,4;16024
"Schwentinental, Stadt";17,81;13993
"Behrensdorf (Ostsee)";20,91;646
"Blekendorf";38,35;1692
"Dannau";9,12;598
"Giekau";32,81;1007
"Helmstorf";12,73;306
"Högsdorf";10,93;414
"Hohenfelde";10,54;1042
"Hohwacht (Ostsee)";8,75;873
"Kirchnüchel";10,09;196
"Klamp";9,72;636
"Kletkamp";11,52;92
"Lütjenburg, Stadt";6,15;5443
"Panker";22,8;1386
"Schwartbuck";13,15;811
"Tröndel";7,58;373
"Dersau";7,5;958
"Dörnick";4,3;245
"Grebin";24,14;1014
"Kalübbe";11,8;561
"Lebrade";18,59;607
"Nehmten";22,03;307
"Rantzau";16,91;341
"Rathjensdorf";11,79;486
"Wittmoldt";5,71;163
"Barmissen";5,15;154
"Boksee";5,52;471
"Bothkamp";13,88;256
"Großbarkau";2,93;253
"Honigsee";11,27;472
"Kirchbarkau";2,16;791
"Klein Barkau";4,19;276
"Kühren";16,81;613
"Lehmkuhlen";31,38;1295
"Löptin";9,07;279
"Nettelsee";6,47;443
"Pohnsdorf";24,62;402
"Postfeld";8,33;429
"Rastorf";20,01;811
"Schellhorn";10,45;1535
"Wahlstorf";14,83;456
"Warnau";3,98;381
"Barsbek";8,73;561
"Bendfeld";4,41;205
"Brodersdorf";3,63;405
"Fahren";3,6;130
"Fiefbergen";5,8;539
"Höhndorf";5,63;472
"Köhn";13,15;770
"Krokau";4,45;414
"Krummbek";5,48;393
"Laboe";5,23;5467
"Lutterbek";3,23;333
"Passade";4,32;372
"Prasdorf";4,77;427
"Probsteierhagen";14,95;2367
"Schönberg (Holstein)";11,63;6356
"Stakendorf";7,97;463
"Stein";3,81;839
"Stoltenberg";7,78;326
"Wendtorf";5,11;985
"Wisch";9,18;707
"Dobersdorf";21,91;1088
"Lammershagen";26,04;238
"Martensrade";19,54;960
"Mucheln";14,28;571
"Schlesen";8;555
"Selent";4,26;1781
"Fargau-Pratjau";23,53;839
"Heikendorf";14,72;8688
"Mönkeberg";2,78;4140
"Schönkirchen";15,96;6883
"Belau";14,89;384
"Großharrie";13,17;490
"Rendswühren";19,75;752
"Ruhwinkel";13,13;978
"Schillsdorf";26,73;837
"Stolpe";23,21;1303
"Tasdorf";5,1;356
"Wankendorf";13,34;2918
"Altenholz";19,04;9965
"Büdelsdorf, Stadt";6,48;10546
"Eckernförde, Stadt";21,58;21507
"Kronshagen";5,34;11908
"Rendsburg, Stadt";23,75;29743
"Wasbek";23,49;2440
"Achterwehr";15,66;1029
"Bredenbek";12,43;1569
"Felde";13,88;2077
"Krummwisch";13,91;714
"Melsdorf";5,89;2008
"Ottendorf";3,55;974
"Quarnbek";16,18;1754
"Westensee";36,92;1572
"Dänischenhagen";15,71;3807
"Noer";13,89;891
"Schwedeneck";28,55;2961
"Strande";13,73;1530
"Felm";15,33;1169
"Gettorf";9,35;7708
"Lindau";25,18;1403
"Neudorf-Bornstein";14,17;1071
"Neuwittenbek";13,12;1122
"Osdorf";19,87;2571
"Schinkel";10,21;1026
"Tüttendorf";17,74;1236
"Böhnhusen";5,29;297
"Flintbek";17,57;7562
"Schönhorst";3,55;330
"Techelsdorf";4,34;148
"Alt Duvenstedt";20,42;1889
"Fockbek";26,65;6674
"Nübbel";14,02;1550
"Rickert";5,52;1057
"Bargstall";4,62;165
"Breiholz";18,51;1376
"Christiansholm";8,42;228
"Elsdorf-Westermühlen";27,48;1641
"Friedrichsgraben";5,38;48
"Friedrichsholm";7,13;407
"Hamdorf";30,59;1422
"Hohn";31,95;2629
"Königshügel";6,26;176
"Lohe-Föhrden";16,03;448
"Prinzenmoor";5,6;163
"Sophienhamm";5,92;300
"Brinjahe";4,66;101
"Embühren";7,45;205
"Haale";13,03;510
"Hamweddel";9,67;463
"Hörsten";8,83;60
"Jevenstedt";45,55;3414
"Luhnstedt";15,34;385
"Schülp b. Rendsburg";10,72;1106
"Stafstedt";11,83;368
"Westerrönfeld";7,78;5026
"Blumenthal";7,8;665
"Mielkendorf";7,78;1400
"Molfsee";7,18;5086
"Rodenbek";7,09;484
"Rumohr";8,6;850
"Schierensee";9,18;372
"Bargstedt";25,35;748
"Bokel";15,27;602
"Borgdorf-Seedorf";6,63;468
"Brammer";13,66;351
"Dätgen";10,62;608
"Eisendorf";5,5;290
"Ellerdorf";10,2;469
"Emkendorf";38,96;1346
"Gnutz";22,93;1161
"Groß Vollstedt";9,02;989
"Krogaspe";11,82;448
"Langwedel";24,22;1582
"Nortorf, Stadt";12,77;7090
"Oldenhütten";4,33;147
"Schülp b. Nortorf";9,85;782
"Timmaspe";15,36;1084
"Warder";8,71;700
"Bovenau";26,24;1114
"Haßmoor";10,31;266
"Ostenfeld (Rendsburg)";7,27;607
"Osterrönfeld";17,89;5114
"Rade b. Rendsburg";6,52;218
"Schacht-Audorf";6,52;4973
"Schülldorf";12,99;744
"Bissee";9,27;164
"Bordesholm";10,17;7914
"Brügge";7,85;1148
"Grevenkrug";4,15;224
"Groß Buchwald";8,96;368
"Hoffeld";6,62;180
"Loop";8,35;193
"Mühbrook";5,3;550
"Negenharrie";12,44;371
"Reesdorf";3,07;157
"Schmalstede";4,81;299
"Schönbek";6,13;224
"Sören";6,5;193
"Wattenbek";6,05;2893
"Ascheffel";10,39;1055
"Borgstedt";9,15;1802
"Brekendorf";20,47;1022
"Bünsdorf";13,24;616
"Damendorf";7,48;467
"Groß Wittensee";23,6;1339
"Haby";5,79;573
"Holtsee";21,72;1292
"Holzbunge";5,19;349
"Hütten";6,91;219
"Klein Wittensee";4,3;213
"Neu Duvenstedt";5,71;129
"Osterby";9,84;1093
"Owschlag";39,31;3749
"Sehestedt";15,25;834
"Ahlefeld-Bistensee";10,04;520
"Altenhof";12,13;331
"Barkelsby";17,86;1567
"Brodersby";9,79;681
"Damp";13,81;1580
"Dörphof";15,02;743
"Fleckeby";12,31;2135
"Gammelby";8,34;497
"Güby";11,9;759
"Holzdorf";17,35;821
"Hummelfeld";7,97;279
"Karby";2,09;565
"Kosel";30;1407
"Loose";13,12;858
"Goosefeld";9,63;711
"Rieseby";38,85;2839
"Thumby";27,39;396
"Waabs";33,26;1432
