"Gemeinde";"Flaeche";"Bevoelkerung"
"Detern, Flecken";43,31;2835
"Filsum";23,75;2221
"Nortmoor";15,21;1845
"Dötlingen";102,02;6483
"Ganderkesee";138,44;31939
"Großenkneten";176,44;16079
"Hatten";103,78;14608
"Hude (Oldb)";124,79;16372
"Wardenburg";118,8;16449
"Wildeshausen, Stadt";89,7;21154
"Beckeln";33,54;765
"Colnrade";18,48;784
"Dünsen";10,87;1220
"Groß Ippener";28,18;978
"Harpstedt, Flecken";23,48;4780
"Kirchseelte";15;1150
"Prinzhöfte";42,07;634
"Winkelsett";39,24;518
"Bad Essen";103,33;16339
"Bad Iburg, Stadt";36,47;10559
"Bad Laer";46,81;9221
"Bad Rothenfelde";18,21;8597
"Belm";46,64;14095
"Bissendorf";96,41;14942
"Bohmte";110,73;13013
"Bramsche, Stadt";183,39;32179
"Dissen am Teutoburger Wald, Stadt";31,9;10638
"Georgsmarienhütte, Stadt";55,49;32190
"Hagen am Teutoburger Wald";34,49;13500
"Hasbergen";21,72;11119
"Hilter am Teutoburger Wald";52,59;10511
"Melle, Stadt";253,95;47228
"Ostercappeln";100,16;10251
"Wallenhorst";47,17;22989
"Glandorf";59,87;6678
"Badbergen";79,11;4846
"Menslage";65,23;2517
"Nortrup";27,08;3013
"Quakenbrück, Stadt";17,96;13884
"Alfhausen";39,33;4224
"Ankum";66,3;8035
"Bersenbrück, Stadt";42,54;8850
"Eggermühlen";27,4;1829
"Gehrde";36,36;2643
"Kettenkamp";12,88;1810
"Rieste";30,59;3717
"Berge";66,78;3617
"Bippen";79,22;3045
"Fürstenau, Stadt";78,64;9736
"Merzen";53,05;3915
"Neuenkirchen";57,63;4652
"Voltlage";42,35;1839
"Bakum";78,88;6734
"Damme, Stadt";104,39;17639
"Dinklage, Stadt";72,81;13410
"Goldenstedt";88,91;10263
"Holdorf";55;7547
"Lohne (Oldenburg), Stadt";91,11;27814
"Neuenkirchen-Vörden";90,94;9230
"Steinfeld (Oldenburg)";60,05;10377
"Vechta, Stadt";87,89;33769
"Visbek";84,24;10141
"Berne";85,1;6864
"Brake (Unterweser), Stadt";38,3;15094
"Butjadingen";129,56;6121
"Elsfleth, Stadt";115,19;9204
"Jade";94,05;5897
"Lemwerder";36,4;7147
"Nordenham, Stadt";87,77;26308
"Ovelgönne";124,27;5405
"Stadland";114,14;7528
"Friedeburg";163,75;10458
"Langeoog";19,73;1747
"Spiekeroog";18,15;841
"Wittmund, Stadt";210,16;20773
"Dunum";26,84;1101
"Esens, Stadt";21,67;7427
"Holtgast";24,01;1845
"Moorweg";18,64;877
"Neuharlingersiel";24,55;1093
"Stedesdorf";27,94;1718
"Werdum";18,45;754
"Blomberg";12,8;1896
"Eversmeer";11,55;850
"Nenndorf";6,86;785
"Neuschoo";14,47;1210
"Ochtersum";10,83;914
"Schweindorf";5,44;735
"Utarp";6,38;643
"Westerholt";14,62;2692
"Bremen, Stadt";318,2;569396
"Bremerhaven, Stadt";101,41;115468
"Düsseldorf, Stadt";217,41;629047
"Duisburg, Stadt";232,84;502211
"Essen, Stadt";210,34;584580
"Krefeld, Stadt";137,78;228426
"Mönchengladbach, Stadt";170,47;268465
"Mülheim an der Ruhr, Stadt";91,28;172404
"Oberhausen, Stadt";77,09;210824
"Remscheid, Stadt";74,52;112613
"Solingen, Klingenstadt";89,54;160643
"Wuppertal, Stadt";168,39;358876
"Bedburg-Hau";61,31;13341
"Emmerich am Rhein, Stadt";80,4;31544
"Geldern, Stadt";96,97;34298
"Goch, Stadt";115,43;35270
"Issum";54,74;12364
"Kalkar, Stadt";88,2;14191
"Kerken";58,17;12750
"Kevelaer, Stadt";100,64;28232
"Kleve, Stadt";97,76;53388
"Kranenburg";76,89;11181
"Rees, Stadt";109,86;21475
"Rheurdt";30,03;6566
"Straelen, Stadt";74;16365
"Uedem";60,93;8513
"Wachtendonk";48,17;8225
"Weeze";79,49;11587
"Erkrath, Fundort des Neanderthalers, Stadt";26,88;43856
"Haan, Stadt";24,19;30542
"Heiligenhaus, Stadt";27,52;26681
"Hilden, Stadt";25,95;55815
"Langenfeld (Rheinland), Stadt";41,15;59783
"Mettmann, Stadt";42,56;39134
"Monheim am Rhein, Stadt";23,05;43050
"Ratingen, Stadt";88,74;87388
"Velbert, Stadt";74,9;82445
"Wülfrath, Stadt";32,27;21100
"Dormagen, Stadt";85,5;65147
"Grevenbroich, Stadt";102,42;64596
"Jüchen, Stadt";72,04;23940
"Kaarst, Stadt";37,39;44253
"Korschenbroich, Stadt";55,26;34187
"Meerbusch, Stadt";64,4;57422
"Neuss, Stadt";99,52;154139
"Rommerskirchen";60,08;13580
"Brüggen, Burggemeinde";61,2;16082
"Grefrath, Sport- und Freizeitgemeinde";30,98;14880
"Kempen, Stadt";68,8;34841
"Nettetal, Stadt";83,87;43095
"Niederkrüchten";67,07;15170
"Schwalmtal";48,11;19143
"Tönisvorst, Stadt";44,34;29319
"Viersen, Stadt";91,1;78208
"Willich, Stadt";67,8;50144
"Alpen";59,6;12649
"Dinslaken, Stadt";47,66;67762
"Hamminkeln, Stadt";164,53;27248
"Hünxe";106,85;13787
"Kamp-Lintfort, Stadt";63,14;38665
"Moers, Stadt";67,64;105287
"Neukirchen-Vluyn, Stadt";43,5;27956
"Rheinberg, Stadt";75,24;31150
"Schermbeck";110,71;13479
"Sonsbeck";55,41;8747
"Voerde (Niederrhein), Stadt";53,49;36196
"Wesel, Stadt";122,56;61330
"Xanten, Stadt";72,43;21582
"Bonn, Stadt";141,06;336465
"Köln, Stadt";405,02;1084831
"Leverkusen, Stadt";78,87;165748
"Aachen, Stadt";160,85;252136
"Alsdorf, Stadt";31,68;48328
"Baesweiler, Stadt";27,84;27620
"Eschweiler, Stadt";75,75;56049
"Herzogenrath, Stadt";33,38;46941
"Monschau, Stadt";94,6;11864
"Roetgen, Tor zur Eifel";39,03;8727
"Simmerath";110,92;15841
"Stolberg (Rhld.), Kupferstadt";98,48;56455
"Würselen, Stadt";34,39;38598
"Aldenhoven";44,25;14081
"Düren, Stadt";85;93207
"Heimbach, Stadt";64,96;4365
"Hürtgenwald";88,05;8929
"Inden";35,92;7507
"Jülich, Stadt";90,39;33158
"Kreuzau";41,73;17687
"Langerwehe";41,46;14257
"Linnich, Stadt";65,43;13015
"Merzenich";37,93;10302
"Nideggen, Stadt";65,04;10419
"Niederzier";63,46;14345
"Nörvenich";66,21;11064
"Titz";68,6;8686
"Vettweiß";83,15;9811
"Bedburg, Stadt";80,42;24302
"Bergheim, Stadt";96,34;62376
"Brühl, Stadt";36,12;44804
"Elsdorf, Stadt";66,17;22021
"Erftstadt, Stadt";119,89;49882
"Frechen, Stadt";45,06;52811
"Hürth, Stadt";51,22;60969
"Kerpen, Kolpingstadt";113,98;67239
"Pulheim, Stadt";72,15;55530
"Wesseling, Stadt";23,37;38192
"Bad Münstereifel, Stadt";150,83;17282
"Blankenheim";148,62;8433
"Dahlem";95,21;4400
"Euskirchen, Stadt";139,49;59772
"Hellenthal";137,82;7925
"Kall";66,07;11112
"Mechernich, Stadt";136,48;28567
"Nettersheim";94,35;7991
"Schleiden, Stadt";121,67;12977
"Weilerswist";57,17;17763
"Zülpich, Stadt";101,01;21025
"Erkelenz, Stadt";117,34;44215
"Gangelt";48,72;13240
"Geilenkirchen, Stadt";83,16;28252
"Heinsberg, Stadt";92,21;43476
"Hückelhoven, Stadt";61,27;41301
"Selfkant";42,09;10557
"Übach-Palenberg, Stadt";26,09;24215
"Waldfeucht";30,27;9164
"Wassenberg, Stadt";42,43;19339
"Wegberg, Stadt";84,34;28074
"Bergneustadt, Stadt";37,89;18633
"Engelskirchen";63,03;19584
"Gummersbach, Stadt";95,41;52001
"Hückeswagen, Schloss-Stadt";50,52;14825
"Lindlar";85,88;21665
"Marienheide";54,97;13710
"Morsbach";55,96;10293
"Nümbrecht";71,78;17486
"Radevormwald, Stadt auf der Höhe";53,86;22222
"Reichshof";114,66;18610
"Waldbröl, Stadt";63,32;19949
"Wiehl, Stadt";53,26;25314
"Wipperfürth, Hansestadt";118,3;21112
"Bergisch Gladbach, Stadt";83,09;112712
"Burscheid, Stadt";27,33;18968
"Kürten";67,29;20128
"Leichlingen (Rheinland), Blütenstadt";37,26;28048
"Odenthal";39,87;15324
"Overath, Stadt";68,88;27405
"Rösrath, Stadt";38,8;28889
"Wermelskirchen, Stadt";74,8;34739
"Alfter";34,77;23904
"Bad Honnef, Stadt";48,14;26061
"Bornheim, Stadt";82,69;49025
"Eitorf";69,9;19132
"Hennef (Sieg), Stadt";105,89;48002
"Königswinter, Stadt";76,2;41495
"Lohmar, Stadt";65,62;30846
"Meckenheim, Stadt";34,84;24877
"Much";78,06;14758
"Neunkirchen-Seelscheid";50,62;20109
"Niederkassel, Stadt";35,79;39281
"Rheinbach, Stadt";69,72;27102
"Ruppichteroth";61,96;10637
"Sankt Augustin, Stadt";34,22;56369
"Siegburg, Stadt";23,66;42049
"Swisttal";62,22;18653
"Troisdorf, Stadt";62;76251
"Wachtberg";49,68;20581
"Windeck";107,22;19203
"Bottrop, Stadt";100,61;118113
"Gelsenkirchen, Stadt";104,94;263000
"Münster, Stadt";303,28;320946
"Ahaus, Stadt";151,24;40245
"Bocholt, Stadt";119,4;71930
"Borken, Stadt";153,24;43489
"Gescher, Glockenstadt";80,84;17361
"Gronau (Westf.), Stadt";78,82;49824
"Heek";69,43;8830
"Heiden";53,39;8317
"Isselburg, Stadt";42,8;11208
"Legden";56,28;7564
"Raesfeld";57,95;11832
"Reken";78,74;15336
"Rhede, Stadt";78,9;19595
"Schöppingen";68,81;6651
"Stadtlohn, Stadt";79,25;20807
"Südlohn";45,29;9616
"Velen, Stadt";70,75;13304
"Vreden, Stadt";135,83;23161
"Ascheberg";106,32;15822
"Billerbeck, Stadt";91,36;11681
"Coesfeld, Stadt";141,36;37030
"Dülmen, Stadt";184,83;47468
"Havixbeck";53,17;12141
"Lüdinghausen, Stadt";140,54;25259
"Nordkirchen";52,41;10402
"Nottuln";85,67;19901
"Olfen, Stadt";52,43;13253
"Rosendahl";94,49;10840
"Senden";109,45;20895
"Castrop-Rauxel, Stadt";51,68;73795
"Datteln, Stadt";66,1;35191
"Dorsten, Stadt";171,2;76720
"Gladbeck, Stadt";35,97;75889
"Haltern am See, Stadt";159,03;38117
"Herten, Stadt";37,33;62473
"Marl, Stadt";87,76;84331
"Oer-Erkenschwick, Stadt";38,66;31838
"Recklinghausen, Stadt";66,5;111734
"Waltrop, Stadt";47,09;29644
"Altenberge";62,96;10415
"Emsdetten, Stadt";72,06;36354
"Greven, Stadt";140,26;38207
"Hörstel, Stadt";107,54;20766
"Hopsten";99,83;7789
"Horstmar, Stadt der Burgmannshöfe";44,76;7382
"Ibbenbüren, Stadt";108,87;52421
"Ladbergen";52,35;7007
"Laer";35,26;6805
"Lengerich, Stadt";90,79;22980
"Lienen";73,44;8783
"Lotte";37,69;14314
"Metelen";40,28;6552
"Mettingen";40,6;12000
"Neuenkirchen";48,44;14072
"Nordwalde";51,6;9807
"Ochtrup, Stadt";105,63;20230
"Recke";53,69;11370
"Rheine, Stadt";145;77893
"Saerbeck, NRW-Klimakommune";59,03;7128
"Steinfurt, Stadt";111,67;35102
"Tecklenburg, Stadt";70,49;9288
"Westerkappeln";85,83;11485
"Wettringen";57,69;8314
"Ahlen, Stadt";123,13;53348
"Beckum, Stadt";111,46;37333
"Beelen";31,35;6247
"Drensteinfurt, Stadt";106,6;15874
"Ennigerloh, Stadt";125,56;19757
"Everswinkel";69,06;9733
"Oelde, Stadt";102,77;29644
"Ostbevern";89,65;11500
"Sassenberg, Stadt";78,08;14455
"Sendenhorst, Stadt";96,95;13671
"Telgte, Stadt";90,9;20222
"Wadersloh";117,03;12863
"Warendorf, Stadt";176,88;37616
"Bielefeld, Stadt";258,83;338332
"Borgholzhausen, Stadt";55,99;9253
"Gütersloh, Stadt";112,02;102393
"Halle (Westf.), Stadt";69,7;21970
"Harsewinkel, Die Mähdrescherstadt";100,59;25999
"Herzebrock-Clarholz";79,28;16379
"Langenberg";38,31;8747
"Rheda-Wiedenbrück, Stadt";86,72;49486
"Rietberg, Stadt";110,31;29919
"Schloß Holte-Stukenbrock, Stadt";67,52;27467
"Steinhagen";56,41;20671
"Verl, Stadt";71,37;25522
"Versmold, Stadt";85,57;22274
"Werther (Westf.), Stadt";35,42;11229
"Bünde, Stadt";59,3;46030
"Enger, Widukindstadt";41,24;20705
"Herford, Hansestadt";79,15;67459
"Hiddenhausen";23,87;19924
"Kirchlengern";33,78;16366
"Löhne, Stadt";59,51;40265
"Rödinghausen";36,27;9891
"Spenge, Stadt";40,35;14416
"Vlotho, Stadt";76,93;18495
"Bad Driburg, Stadt";115,3;19390
"Beverungen, Stadt";98,09;13238
"Borgentreich, Orgelstadt";138,94;8761
"Brakel, Stadt";173,92;16372
"Höxter, Stadt";158,16;28709
"Marienmünster, Stadt";64,36;4970
"Nieheim, Stadt";79,71;6157
"Steinheim, Stadt";75,69;12612
"Warburg, Hansestadt";168,84;23322
"Willebadessen, Stadt";128,41;8288
"Augustdorf";42,18;10365
"Bad Salzuflen, Stadt";100,05;54808
"Barntrup, Stadt";59,46;8611
"Blomberg, Stadt";99,1;15407
"Detmold, Stadt";129,39;75089
"Dörentrup";49,79;7660
"Extertal";92,49;11004
"Horn-Bad Meinberg, Stadt";90,15;17290
"Kalletal";112,42;13401
"Lage, Stadt";76,04;35423
"Lemgo, Stadt";100,85;40594
"Leopoldshöhe";36,93;16614
"Lügde, Stadt der Osterräder";88,64;9364
"Oerlinghausen, Stadt";32,69;17238
"Schieder-Schwalenberg, Stadt";60,04;8363
"Schlangen";75,97;9357
"Bad Oeynhausen, Stadt";64,83;49477
"Espelkamp, Stadt";84,21;25174
"Hille";102,99;15728
"Hüllhorst";44,7;13281
"Lübbecke, Stadt";65,04;26027
"Minden, Stadt";101,12;83076
"Petershagen, Stadt";211,94;25222
"Porta Westfalica, Stadt";105,22;36374
"Preußisch Oldendorf, Stadt";68,76;12531
"Rahden, Stadt";137,48;15773
"Stemwede";166,13;13311
"Altenbeken";76,22;9212
"Bad Lippspringe, Stadt";51,01;16808
"Borchen";77,28;13685
"Büren, Stadt";170,99;21483
"Delbrück, Stadt";157,28;32774
"Hövelhof, Sennegemeinde";70,74;16522
"Lichtenau, Stadt";192,57;10867
"Paderborn, Stadt";179,59;154755
"Salzkotten, Stadt";109,8;25311
"Bad Wünnenberg, Stadt";161,3;12341
"Bochum, Stadt";145,66;365742
"Dortmund, Stadt";280,71;593317
"Hagen, Stadt der FernUniversität";160,45;189783
"Hamm, Stadt";226,43;180849
"Herne, Stadt";51,42;157368
"Breckerfeld, Hansestadt";59,09;9041
"Ennepetal, Stadt der Kluterthöhle";57,77;30652
"Gevelsberg, Stadt";26,34;31097
"Hattingen, Stadt";71,67;54637
"Herdecke, Stadt";22,39;22758
"Schwelm, Stadt";20,5;28723
"Sprockhövel, Stadt";47,94;24838
"Wetter (Ruhr), Stadt";31,55;27550
"Witten, Stadt";72,4;95897
"Arnsberg, Stadt";193,72;74323
"Bestwig";69,46;10695
"Brilon, Stadt";229,16;25511
"Eslohe (Sauerland)";113,36;8920
"Hallenberg, Stadt";65,35;4537
"Marsberg, Stadt";182,22;19736
"Medebach, Hansestadt";126,05;8101
"Meschede, Kreis- und  Hochschulstadt";218,52;30025
"Olsberg, Stadt";118;14509
"Schmallenberg, Stadt";303,1;24878
"Sundern (Sauerland), Stadt";193,27;27741
"Winterberg, Stadt";147,95;12671
"Altena, Stadt";44,42;16430
"Balve, Stadt";74,81;11143
"Halver, Stadt";77,23;16347
"Hemer, Stadt";67,66;34024
"Herscheid";59,4;6954
"Iserlohn, Stadt";125,49;92540
"Kierspe, Stadt";71,91;16422
"Lüdenscheid, Stadt";87,02;71865
"Meinerzhagen, Stadt";115,69;20812
"Menden (Sauerland), Stadt";86,1;52485
"Nachrodt-Wiblingwerde";29,03;6466
"Neuenrade, Stadt";54,1;11793
"Plettenberg, Stadt";96,75;24954
"Schalksmühle";38,09;10284
"Werdohl, Stadt";33,38;17827
"Attendorn, Hansestadt";97,92;24448
"Drolshagen, Stadt";67,11;11763
"Finnentrop";104,42;16851
"Kirchhundem";148,63;11445
"Lennestadt, Stadt";135,59;25352
"Olpe, Stadt";85,88;25015
"Wenden";72,56;19565
"Bad Berleburg, Stadt";275,52;18923
"Burbach";79,72;15315
"Erndtebrück";70,98;6970
"Freudenberg, Stadt";54,6;17773
"Hilchenbach, Stadt";81,12;14775
"Kreuztal, Stadt";71,07;31197
"Bad Laasphe, Stadt";135,95;13467
"Netphen, Stadt";137,39;23363
"Neunkirchen";39,81;13000
"Siegen, Universitätsstadt";114,69;102560
"Wilnsdorf";72,04;19793
"Anröchte";73,79;10359
"Bad Sassendorf";63,46;12451
"Ense";51,08;12326
"Erwitte, Stadt";89,41;16333
"Geseke, Stadt";97,89;21685
"Lippetal";126,61;11966
"Lippstadt, Stadt";113,68;68890
"Möhnesee";123,49;11869
"Rüthen, Stadt";158,15;10957
"Soest, Stadt";85,81;48607
"Warstein, Stadt";158,05;24647
"Welver";85,62;11966
"Werl, Stadt";76,35;31045
"Wickede (Ruhr)";25,24;12967
"Bergkamen, Stadt";44,9;49263
"Bönen";38,04;18438
"Fröndenberg/Ruhr, Stadt";56,23;20548
"Holzwickede";22,36;17298
"Kamen, Stadt";40,95;43058
"Lünen, Stadt";59,39;86868
"Schwerte, Hansestadt an der Ruhr";56,23;46658
"Selm, Stadt";60,41;26163
"Unna, Stadt";88,56;60892
"Werne, Stadt";76,14;29680
"Darmstadt, Wissenschaftsstadt";122,07;162243
"Frankfurt am Main, Stadt";248,31;773068
"Offenbach am Main, Stadt";44,88;134170
"Wiesbaden, Landeshauptstadt";203,87;283083
"Abtsteinach";11,02;2476
"Bensheim, Stadt";57,83;42089
"Biblis";40,47;9170
"Birkenau";24,54;9926
"Bürstadt, Stadt";34,46;16734
"Einhausen";26,67;6596
"Fürth";38,41;10751
"Gorxheimertal";10,45;4156
"Grasellenbach";22,88;4137
"Groß-Rohrheim";19,56;3698
"Heppenheim (Bergstraße), Kreisstadt";52,12;26946
"Hirschhorn (Neckar), Stadt";30,85;3449
"Lampertheim, Stadt";72,27;32870
"Lautertal (Odenwald)";30,75;7214
"Lindenfels, Stadt";21,09;5411
"Lorsch, Karolingerstadt";25,24;13989
"Mörlenbach";27,22;10166
"Neckarsteinach, Stadt";17,24;4016
"Rimbach";23,16;8883
"Viernheim, Stadt";48,41;34534
"Wald-Michelbach";74,31;10791
"Zwingenberg, Stadt";5,66;7203
"Alsbach-Hähnlein";15,77;9178
"Babenhausen, Stadt";66,85;17409
"Bickenbach";9,26;6148
"Dieburg, Stadt";23,08;15699
"Eppertshausen";13,11;6340
"Erzhausen";7,4;8153
"Fischbachtal";13,27;2759
"Griesheim, Stadt";21,55;27837
"Groß-Bieberau, Stadt";18,27;4782
"Groß-Umstadt, Stadt";86,84;21028
"Groß-Zimmern";21,26;14687
"Messel";14,82;4194
"Modautal";31,79;5137
"Mühltal";25,34;13922
"Münster (Hessen)";20,78;14566
"Ober-Ramstadt, Stadt";41,88;15252
"Otzberg";41,94;6540
"Pfungstadt, Stadt";42,54;25231
"Reinheim, Stadt";27,7;16603
"Roßdorf";20,6;12898
"Schaafheim";32,16;9346
"Seeheim-Jugenheim";28;16627
"Weiterstadt, Stadt";34,4;26322
"Biebesheim am Rhein";18,68;6675
"Bischofsheim";9,03;13176
"Büttelborn";30,01;14992
"Gernsheim, Schöfferstadt";40,11;11024
"Ginsheim-Gustavsburg, Stadt";13,94;16960
"Groß-Gerau, Stadt";54,47;26418
"Kelsterbach, Stadt";15,41;17375
"Mörfelden-Walldorf, Stadt";44,13;35291
"Nauheim";13,77;10840
"Raunheim, Stadt";12,6;16542
"Riedstadt, Büchnerstadt";73,73;24209
"Rüsselsheim am Main, Stadt";58,29;67277
"Stockstadt am Rhein";18,73;6333
"Trebur";50,13;13196
"Bad Homburg v. d. Höhe, Stadt";51,14;54996
"Friedrichsdorf, Stadt";30,13;25662
"Glashütten";27,1;5437
"Grävenwiesbach";43,15;5352
"Königstein im Taunus, Stadt";25,05;16744
"Kronberg im Taunus, Stadt";18,58;18416
"Neu-Anspach, Stadt";36,12;14512
"Oberursel (Taunus), Stadt";45,34;47042
"Schmitten im Taunus";35,51;9563
"Steinbach (Taunus), Stadt";4,4;10846
"Usingen, Stadt";55,81;14926
"Wehrheim";38,34;9340
"Weilrod";71,17;6652
"Bad Orb, Stadt";47,75;10725
"Bad Soden-Salmünster, Stadt";58,59;13823
"Biebergemünd";78,45;8394
"Birstein";86,61;6203
"Brachttal";30,84;5089
"Bruchköbel, Stadt";29,88;20825
"Erlensee, Stadt";18,58;15969
"Flörsbachtal";52,11;2370
"Freigericht";33,47;14641
"Gelnhausen, Barbarossastadt, Kreisstadt";45,15;23679
"Großkrotzenburg";7,47;7505
"Gründau";67,6;14780
"Hammersbach";20,14;4913
"Hanau, Brüder-Grimm-Stadt";76,28;101364
"Hasselroth";18,93;7409
"Jossgrund";50,69;3453
"Langenselbold, Stadt";26,23;14608
"Linsengericht";29,8;9883
"Maintal, Stadt";32,41;39815
"Neuberg";10,55;5505
"Nidderau, Stadt";46,73;20700
"Niederdorfelden";6,52;4034
"Rodenbach";16,74;11351
"Ronneburg";14,25;3504
"Schlüchtern, Stadt";113,3;16151
"Schöneck";21,5;11986
"Sinntal";111,82;8840
"Steinau an der Straße, Brüder-Grimm-Stadt";104,86;10371
"Wächtersbach, Stadt";50,79;12948
"Bad Soden am Taunus, Stadt";12,5;23162
"Eppstein, Stadt";24,19;13758
"Eschborn, Stadt";12,13;22070
"Flörsheim am Main, Stadt";22,99;21851
"Hattersheim am Main, Stadt";15,8;28528
"Hochheim am Main, Stadt";19,47;18538
"Hofheim am Taunus, Kreisstadt";57,43;40371
"Kelkheim (Taunus), Stadt";30,73;29112
"Kriftel";6,76;11151
"Liederbach am Taunus";6,2;9062
"Schwalbach am Taunus, Stadt";6,47;15519
"Sulzbach (Taunus)";7,85;9298
"Bad König, Stadt";46,73;9951
"Brensbach";23,18;5013
"Breuberg, Stadt";30,76;7577
"Brombachtal";20,44;3493
"Erbach, Kreisstadt";61,52;13977
"Fränkisch-Crumbach";16,12;3078
"Höchst i. Odw.";30,51;10319
"Lützelbach";35,44;6800
"Michelstadt, Stadt";86,98;16097
"Mossautal";48,49;2475
"Reichelsheim (Odenwald)";58,21;8517
"Oberzent, Stadt";165,61;10280
"Dietzenbach, Kreisstadt";21,68;34928
"Dreieich, Stadt";53,27;42260
"Egelsbach";14,81;11452
"Hainburg";15,94;14403
"Heusenstamm, Stadt";19,03;19306
"Langen (Hessen), Stadt";29,12;39217
"Mainhausen";17,92;9897
"Mühlheim am Main, Stadt";20,67;29252
"Neu-Isenburg, Stadt";24,29;39287
"Obertshausen, Stadt";13,62;25307
"Rodgau, Stadt";65,04;46426
"Rödermark, Stadt";29,99;28834
"Seligenstadt, Einhardstadt";30,85;21568
"Aarbergen";33,97;6374
"Bad Schwalbach, Kreisstadt";40,27;11430
"Eltville am Rhein, Stadt";46,77;17112
"Geisenheim, Hochschulstadt";40,34;11699
"Heidenrod";95,93;7927
"Hohenstein";63,86;6235
"Hünstetten";50,58;10496
"Idstein, Hochschulstadt";79,76;25554
"Kiedrich";12,34;4074
"Lorch, Stadt";54,43;4017
"Niedernhausen";35,29;14845
"Oestrich-Winkel, Stadt";59,51;11823
"Rüdesheim am Rhein, Stadt";51,41;10054
"Schlangenbad";36,51;6481
"Taunusstein, Stadt";67,02;30810
"Waldems";36,68;5160
"Walluf";6,74;5523
"Altenstadt";30,09;12689
"Bad Nauheim, Stadt";32,54;33445
"Bad Vilbel, Stadt";25,68;35758
"Büdingen, Stadt";122,88;22622
"Butzbach, Friedrich-Ludwig-Weidig-Stadt";106,6;27402
"Echzell";37,65;5852
"Florstadt, Stadt";39,6;8901
"Friedberg (Hessen), Kreisstadt";50,18;30818
"Gedern, Stadt";75,24;7271
"Glauburg";12,67;3090
"Hirzenhain";16,11;2950
"Karben, Stadt";43,94;23172
"Kefenrod";30,67;2707
"Limeshain";12,5;5856
"Münzenberg, Stadt";31,63;5832
"Nidda, Stadt";118,33;17650
"Niddatal, Stadt";40,25;9988
"Ober-Mörlen";37,65;5847
"Ortenberg, Stadt";54,7;8962
"Ranstadt";34,26;5374
"Reichelsheim (Wetterau), Stadt";27,56;6955
"Rockenberg";16,14;4545
"Rosbach v. d. Höhe, Stadt";45,33;13110
"Wölfersheim";43,11;9762
"Wöllstadt";15,38;6740
"Allendorf (Lumda), Stadt";22,05;4065
"Biebertal";43,94;10070
"Buseck";38,61;13246
"Fernwald";21,57;7150
"Gießen, Universitätsstadt";72,61;94146
"Grünberg, Stadt";89,22;13930
"Heuchelheim a. d. Lahn";10,58;8052
"Hungen, Stadt";86,78;13073
"Langgöns";52,53;11813
"Laubach, Stadt";97,01;9801
"Lich, Stadt";77,61;14218
"Linden, Stadt";22,77;13583
"Lollar, Stadt";21,39;10454
"Pohlheim, Stadt";38;18003
"Rabenau";43,4;5154
"Reiskirchen";44,99;10527
"Staufenberg, Stadt";28,58;8551
"Wettenberg";42,92;12828
"Aßlar, Stadt";43,57;13924
"Bischoffen";35,37;3311
"Braunfels, Stadt";47,28;11131
"Breitscheid";31,71;4780
"Dietzhölztal";37,47;5611
"Dillenburg, Oranienstadt";83,76;23480
"Driedorf";47,56;5135
"Ehringshausen";45,43;9540
"Eschenburg";45,78;10079
"Greifenstein";67,4;6584
"Haiger, Stadt";106,73;19623
"Herborn, Stadt";63,76;20894
"Hohenahr";45,71;4900
"Hüttenberg";40,74;10909
"Lahnau";23,94;8284
"Leun, Stadt";28,66;5813
"Mittenaar";35,14;4833
"Schöffengrund";34,11;6524
"Siegbach";29,03;2518
"Sinn";18,73;6511
"Solms, Stadt";34,02;13862
"Waldsolms";44,75;4856
"Wetzlar, Stadt";75,65;54187
"Beselich";31,54;5789
"Brechen";24,86;6475
"Bad Camberg, Stadt";54,6;14294
"Dornburg";33,23;8739
"Elbtal";11,11;2441
"Elz";16,86;7949
"Hadamar, Stadt";40,99;13042
"Hünfelden";62,69;9790
"Limburg a. d. Lahn, Kreisstadt";45,16;36053
"Löhnberg";33,84;4645
"Mengerskirchen, Marktflecken";30,82;5764
"Merenberg, Marktflecken";23,09;3219
"Runkel, Stadt";43,71;9457
"Selters (Taunus)";40,47;8092
"Villmar, Marktflecken";43,1;6775
"Waldbrunn (Westerwald)";29,77;5877
"Weilburg, Stadt";57,51;13334
"Weilmünster, Marktflecken";77,42;8916
"Weinbach";37,67;4233
"Amöneburg, Stadt";43,9;4963
"Angelburg";16,73;3428
"Bad Endbach";39,85;7950
"Biedenkopf, Stadt";90,31;13703
"Breidenbach";44,83;6802
"Cölbe";26,68;6532
"Dautphetal";72,02;11418
"Ebsdorfergrund";72,87;9033
"Fronhausen";27,87;4139
"Gladenbach, Stadt";72,28;12513
"Kirchhain, Stadt";90,95;16462
"Lahntal";40,5;7102
"Lohra";49,16;5597
"Marburg, Universitätsstadt";123,91;77845
"Münchhausen";41,54;3315
"Neustadt (Hessen), Stadt";56,86;10393
"Rauschenberg, Stadt";67,32;4488
"Stadtallendorf, Stadt";78,24;21552
"Steffenberg";24,3;4052
"Weimar (Lahn)";47,05;7231
"Wetter (Hessen), Stadt";104,53;9010
"Wohratal";30,67;2156
"Alsfeld, Stadt";129,71;16177
"Antrifttal";26,59;1822
"Feldatal";55,69;2410
"Freiensteinau";65,66;3187
"Gemünden (Felda)";55;2760
"Grebenau, Stadt";55,34;2394
"Grebenhain";91,62;4585
"Herbstein, Stadt";79,98;4685
"Homberg (Ohm), Stadt";88,04;7521
